,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
RP11-536K7.3,0.028736954554915428,0.008561475202441216,0.010170049034059048,0.01879502832889557,-0.010730836540460587,-0.03808849677443504,-0.011908321641385555,-0.06424706429243088,-0.08203590661287308,-0.1194177120923996,all
PFKFB3,-0.009449489414691925,-0.04329738765954971,0.06354990601539612,-0.02653033286333084,0.07596926391124725,0.03910383582115173,0.030466504395008087,-0.10024664551019669,0.11351754516363144,-0.2448083609342575,all
VIM-AS1,0.046032607555389404,-0.06953923404216766,0.07019440084695816,0.019363921135663986,0.2633233666419983,-0.04040146246552467,-0.06595174223184586,-0.03399873152375221,-0.13353416323661804,-0.2257978320121765,all
VIM,0.2387290894985199,-0.1252560019493103,0.2585107088088989,0.14477424323558807,-0.27581214904785156,-0.5210789442062378,-0.5135644674301147,0.3293660879135132,0.5713396668434143,-0.5379056334495544,all
NSUN6,0.023860972374677658,-0.014675900340080261,0.008058088831603527,0.001261301920749247,-0.010096337646245956,-0.01710294559597969,0.01286086905747652,-0.012537549249827862,0.01714007370173931,-0.049994535744190216,all
ARL5B-AS1,0.03185935318470001,-0.032008469104766846,0.01826469972729683,-0.00677096052095294,0.013913443312048912,-0.018328070640563965,-0.024222256615757942,-0.012364526279270649,0.07761179655790329,-0.02477922849357128,all
ARL5B,0.05453643947839737,-0.08987510204315186,0.07987255603075027,-0.040116894990205765,0.006111104506999254,-0.04969325661659241,-0.05363565310835838,0.03607264906167984,0.22916194796562195,-0.12330377101898193,all
RP11-354E11.2,-0.002147726947441697,0.0039985887706279755,0.0051284232176840305,0.016554566100239754,-0.309282511472702,0.014515325427055359,0.013211031444370747,-0.05584493651986122,0.03762533515691757,0.0898880735039711,all
OTUD1,0.05914299562573433,-0.09016963094472885,0.06640186905860901,0.00030254715238697827,0.0019063390791416168,-0.0028711254708468914,-0.01822771318256855,-0.037420596927404404,-0.052842166274785995,-0.2735006809234619,all
ENKUR,-0.014365443959832191,-0.022277936339378357,-0.008492959663271904,-0.0276697538793087,0.6325026154518127,0.026496676728129387,0.02430970035493374,-0.042577147483825684,-0.07190090417861938,0.08410679548978806,all
MPP7,0.0933455377817154,-0.006723709404468536,0.03282223641872406,0.05646780878305435,-0.059343818575143814,-0.15188290178775787,-0.17061184346675873,0.048698436468839645,-0.16290953755378723,-0.1957394927740097,all
